MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2384748	Fut10	fucosyltransferase 10	8		neuronal stem cell population maintenance			IMP		J:204554 	
MGI:108570	Fzd7	frizzled class receptor 7	1		stem cell population maintenance			IEA	ENSP00000286201 O75084 	J:342605 	
MGI:108570	Fzd7	frizzled class receptor 7	1		stem cell population maintenance			ISO	O75084 	J:164563 	
MGI:95662	Gata2	GATA binding protein 2	6		somatic stem cell population maintenance			IMP		J:100710 	
MGI:1353651	Gnl3	guanine nucleotide binding protein nucleolar 3	14		stem cell population maintenance			IEA	ENSP00000395772 Q9BVP2 	J:342605 	
MGI:1353651	Gnl3	guanine nucleotide binding protein nucleolar 3	14		stem cell population maintenance			ISO	Q9BVP2 	J:164563 	
MGI:3044668	Gsdma3	gasdermin A3	11		somatic stem cell population maintenance	happens in hair follicle		IMP	MGI:4849547 	J:180149 	
MGI:108086	Hdac1	histone deacetylase 1	4		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:108086	Hdac1	histone deacetylase 1	4		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1097691	Hdac2	histone deacetylase 2	10		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1097691	Hdac2	histone deacetylase 2	10		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		neuronal stem cell population maintenance			IMP		J:175113 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		neuronal stem cell population maintenance			ISO	RGD:62081 	J:155856 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		somatic stem cell population maintenance	happens in pancreas primordium dorsal bud		IMP	MGI:2149672 	J:59312 	
MGI:104876	Hes5	hes family bHLH transcription factor 5	4		neuronal stem cell population maintenance			IMP		J:175113 	
MGI:104876	Hes5	hes family bHLH transcription factor 5	4		neuronal stem cell population maintenance			ISO	RGD:621340 	J:155856 	
MGI:96071	Hesx1	homeobox gene expressed in ES cells	14		stem cell population maintenance	is a part of signal transduction		IMP		J:297356 	
MGI:101761	Hmga2	high mobility group AT-hook 2	10		regulation of stem cell population maintenance			ISO	P52926 	J:164563 	
MGI:101761	Hmga2	high mobility group AT-hook 2	10		regulation of stem cell population maintenance			ISS	P52926 	J:342587 	
MGI:101761	Hmga2	high mobility group AT-hook 2	10		somatic stem cell population maintenance	happens in telencephalon		IGI	MGI:104738 	J:144068 	
MGI:101761	Hmga2	high mobility group AT-hook 2	10		somatic stem cell population maintenance	happens in gut,happens in telencephalon		IMP	MGI:2386412 	J:144068 	
MGI:98505	Hnf1b	HNF1 homeobox B	11		negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis			IMP	MGI:1857856 	J:157251 	
MGI:2443554	Hook3	hook microtubule tethering protein 3	8		neuronal stem cell population maintenance	happens in extraembryonic component		IMP		J:161175 	
MGI:1890357	Igf2bp1	insulin-like growth factor 2 mRNA binding protein 1	11		neuronal stem cell population maintenance			IMP	MGI:3043746 	J:207231 	
MGI:1349481	Ing1	inhibitor of growth family, member 1	8		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1349481	Ing1	inhibitor of growth family, member 1	8		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1916510	Ing2	inhibitor of growth family, member 2	8		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1916510	Ing2	inhibitor of growth family, member 2	8		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1095416	Jag1	jagged 1	2		neuronal stem cell population maintenance			IEA	ENSP00000254958 P78504 	J:342605 	
MGI:1918614	Jmjd1c	jumonji domain containing 1C	10		male germ-line stem cell population maintenance			IMP	MGI:5544070 	J:203917 	
MGI:1343101	Kat2a	K(lysine) acetyltransferase 2A	11		regulation of stem cell population maintenance			IMP		J:281186 	
MGI:2442415	Kat6a	K(lysine) acetyltransferase 6A	8		somatic stem cell population maintenance			IMP	MGI:3626344 	J:108453 	
MGI:2442415	Kat6a	K(lysine) acetyltransferase 6A	8		somatic stem cell population maintenance	happens in liver		IMP		J:108699 	
MGI:1354737	Kdm2b	lysine (K)-specific demethylase 2B	5		positive regulation of stem cell population maintenance			IDA		J:186946 	
MGI:98847	Kdm3a	lysine (K)-specific demethylase 3A	6		regulation of stem cell population maintenance			IGI	MGI:1097166 	J:125698 	
MGI:1924054	Kdm4c	lysine (K)-specific demethylase 4C	4		stem cell population maintenance			IGI	MGI:1919200 	J:125698 	
MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	5		somatic stem cell population maintenance			ISO	RGD:620568 	J:155856 	
MGI:1342287	Klf4	Kruppel-like transcription factor 4 (gut)	4		somatic stem cell population maintenance	happens in inner cell mass		IDA		J:96515 	
MGI:1342287	Klf4	Kruppel-like transcription factor 4 (gut)	4		stem cell population maintenance			IDA		J:168284 	
MGI:1101353	Klf10	Kruppel-like transcription factor 10	15		somatic stem cell population maintenance			IDA		J:150463 	
MGI:1925139	Lbh	limb-bud and heart	17		positive regulation of somatic stem cell population maintenance			IMP		J:220326 	
MGI:894762	Ldb1	LIM domain binding 1	19		somatic stem cell population maintenance	happens in coat hair follicle		IGI	MGI:109360 	J:129101 	
MGI:894670	Ldb2	LIM domain binding 2	5		somatic stem cell population maintenance	happens in coat hair follicle		IGI	MGI:894762 	J:129101 	
MGI:2685031	Leo1	Leo1, Paf1/RNA polymerase II complex component	9		stem cell population maintenance			IMP		J:149841 	
MGI:2685031	Leo1	Leo1, Paf1/RNA polymerase II complex component	9		stem cell population maintenance			ISO	Q8WVC0 	J:164563 	
MGI:96787	Lif	leukemia inhibitory factor	11		somatic stem cell population maintenance	happens in inner cell mass		IDA		J:96515 	
MGI:96787	Lif	leukemia inhibitory factor	11		somatic stem cell population maintenance	happens in inner cell mass		IGI	MGI:1201791 	J:96515 	
MGI:96787	Lif	leukemia inhibitory factor	11		somatic stem cell population maintenance	happens in inner cell mass		IGI	MGI:1342287 	J:96515 	
MGI:1335098	Lig4	ligase IV, DNA, ATP-dependent	8		somatic stem cell population maintenance			IMP	MGI:3714783 	J:122725 	
MGI:1890546	Lin28a	lin-28 homolog A	4		stem cell population maintenance			IEA	ENSP00000363314 Q9H9Z2 	J:342605 	
MGI:1890546	Lin28a	lin-28 homolog A	4		stem cell population maintenance			ISO	Q9H9Z2 	J:164563 	
MGI:2137913	Loxl2	lysyl oxidase-like 2	14		negative regulation of stem cell population maintenance			IDA		J:251996 	
MGI:1278315	Lrp5	low density lipoprotein receptor-related protein 5	19		somatic stem cell population maintenance	happens in mammary gland epithelium		IMP	MGI:3663738 	J:152469 	
MGI:1914457	Lsm1	LSM1 homolog, mRNA degradation associated	8		stem cell population maintenance	happens in cerebral cortex		IMP		J:217461 	
MGI:1346861	Mapk8	mitogen-activated protein kinase 8	14		neuronal stem cell population maintenance			ISO	P49185 	J:73065 	
MGI:2443308	Mcph1	microcephaly, primary autosomal recessive 1	8		neuronal stem cell population maintenance	happens in brain		IMP	MGI:5308745 	J:180706 	
MGI:1917042	Med6	mediator complex subunit 6	12		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1913463	Med7	mediator complex subunit 7	11		somatic stem cell population maintenance			IMP		J:164442 	
MGI:106331	Med10	mediator complex subunit 10	13		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1926212	Med12	mediator complex subunit 12	X		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1349442	Med14	mediator complex subunit 14	X		somatic stem cell population maintenance			IMP		J:164442 	
MGI:2137379	Med15	mediator complex subunit 15	16		somatic stem cell population maintenance			IMP		J:164442 	
MGI:2182585	Med17	mediator complex subunit 17	9		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1347064	Med21	mediator complex subunit 21	6		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1344385	Med24	mediator complex subunit 24	11		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1916225	Med27	mediator complex subunit 27	2		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1914249	Med28	mediator complex subunit 28	5		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1917040	Med30	mediator complex subunit 30	15		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1927165	Mettl3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit	14		stem cell population maintenance			IMP		J:207885 	
MGI:1927165	Mettl3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit	14		stem cell population maintenance			IMP		J:219587 	
MGI:1927165	Mettl3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit	14		stem cell population maintenance			IMP		J:219614 	
MGI:2442926	Mettl14	methyltransferase 14, N6-adenosine-methyltransferase subunit	3		stem cell population maintenance			IMP		J:207885 	
MGI:2444886	Miat	myocardial infarction associated transcript (non-protein coding)	5		stem cell population maintenance			IMP		J:219771 	
MGI:3711327	Mir294	microRNA 294	7		regulation of stem cell population maintenance			IDA		J:167546 	
MGI:1341867	Mmp24	matrix metallopeptidase 24	2		neuronal stem cell population maintenance			IDA		J:213556 	
MGI:105050	Mtf2	metal response element binding transcription factor 2	5		stem cell population maintenance			IMP		J:157068 	
MGI:97250	Myc	myelocytomatosis oncogene	15		regulation of somatic stem cell population maintenance			IDA		J:278440 	
MGI:1919200	Nanog	Nanog homeobox	6		somatic stem cell population maintenance			IDA		J:111703 	
MGI:1919200	Nanog	Nanog homeobox	6		somatic stem cell population maintenance			IMP	MGI:2664492 	J:83420 	
MGI:1919200	Nanog	Nanog homeobox	6		somatic stem cell population maintenance			IMP		J:111554 	
MGI:1919200	Nanog	Nanog homeobox	6		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1919200	Nanog	Nanog homeobox	6		stem cell population maintenance			IEP		J:90050 	
MGI:1919200	Nanog	Nanog homeobox	6		stem cell population maintenance			IGI	MGI:1924054 	J:125698 	
MGI:1919200	Nanog	Nanog homeobox	6		stem cell population maintenance			IMP		J:242442 	
MGI:2676627	Nanos2	nanos C2HC-type zinc finger 2	7		germ-line stem cell population maintenance			IMP		J:132711 	
MGI:2676627	Nanos2	nanos C2HC-type zinc finger 2	7		germ-line stem cell population maintenance			IMP		J:152220 	
MGI:1276535	Ncoa3	nuclear receptor coactivator 3	2		positive regulation of stem cell population maintenance			IMP		J:188268 	
MGI:1276535	Ncoa3	nuclear receptor coactivator 3	2		regulation of stem cell population maintenance			IMP		J:192962 	
MGI:103188	Nfib	nuclear factor I/B	4		stem cell population maintenance			IMP	MGI:5052268 	J:291088 	
MGI:97311	Nfix	nuclear factor I/X	8		stem cell population maintenance			IMP	MGI:3802570 	J:291088 	
MGI:97316	Nfya	nuclear transcription factor-Y alpha	17		regulation of stem cell population maintenance	regulates stem cell population maintenance	PR:P23708-2	IDA		J:194643 	
MGI:1913976	Nipbl	NIPBL cohesin loading factor	15		somatic stem cell population maintenance			IMP		J:164442 	
MGI:1914300	Nkap	NFKB activating protein	X		somatic stem cell population maintenance			IMP	MGI:3765313 MGI:4839023 	J:165872 	
MGI:97359	Nodal	nodal growth differentiation factor	10		somatic stem cell population maintenance	happens in mural trophectoderm		IGI	MGI:95518 	J:93446 	
MGI:97359	Nodal	nodal growth differentiation factor	10		somatic stem cell population maintenance	happens in embryo		IMP	MGI:2180793 	J:110605 	
MGI:97359	Nodal	nodal growth differentiation factor	10		stem cell population maintenance	happens in mural trophectoderm		IGI	MGI:95518 	J:93446 	
MGI:104327	Nog	noggin	11		somatic stem cell population maintenance			IEA	ENSP00000328181 Q13253 	J:342605 	
MGI:104327	Nog	noggin	11		somatic stem cell population maintenance			ISO	Q13253 	J:164563 	
MGI:97363	Notch1	notch 1	2		neuronal stem cell population maintenance			IEA	ENSP00000498587 P46531 	J:342605 	
MGI:1100526	Nr2e1	nuclear receptor subfamily 2, group E, member 1	10		somatic stem cell population maintenance	happens in prosencephalon,happens in cerebral cortex		IMP	MGI:2151350 	J:95734 	
MGI:1100526	Nr2e1	nuclear receptor subfamily 2, group E, member 1	10		somatic stem cell population maintenance	happens in brain		IMP	MGI:2176560 	J:87401 	
MGI:1100526	Nr2e1	nuclear receptor subfamily 2, group E, member 1	10		somatic stem cell population maintenance	happens in brain subventricular zone		IMP	MGI:3764730 MGI:3807544 	J:138765 	
MGI:1918718	Obox1	oocyte specific homeobox 1	7		stem cell population maintenance			IMP		J:306170 	
MGI:1339639	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	X		negative regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1339639	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	X		positive regulation of stem cell population maintenance			NAS		J:243422 	
MGI:1338898	Padi4	peptidyl arginine deiminase, type IV	4		stem cell population maintenance			IMP		J:205556 	
MGI:1923988	Paf1	Paf1, RNA polymerase II complex component	7		stem cell population maintenance			IMP		J:149841 	
MGI:3643517	Panct2	pluripotency-associated noncoding transcript 2	1		somatic stem cell population maintenance			IMP		J:201193 	
MGI:97486	Pax2	paired box 2	19		negative regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis			IMP		J:120229 	
MGI:97492	Pax8	paired box 8	2		negative regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis			IMP		J:120229 	
MGI:1277958	Pcm1	pericentriolar material 1	8		neuronal stem cell population maintenance	happens in extraembryonic component		IMP		J:161175 	
MGI:2145154	Pelo	pelota mRNA surveillance and ribosome rescue factor	13		stem cell population maintenance	happens in extraembryonic endoderm		IMP	MGI:2450933 	J:228122 	
MGI:1919307	Phf10	PHD finger protein 10	17		positive regulation of stem cell population maintenance			NAS		J:147141 	
MGI:1921266	Phf19	PHD finger protein 19	2		stem cell population maintenance			IMP		J:183475 	
MGI:1930036	Piwil2	piwi-like RNA-mediated gene silencing 2	14		germ-line stem cell population maintenance			IMP		J:147897 	
MGI:104642	Pla2g2a	phospholipase A2, group IIA (platelets, synovial fluid)	4		somatic stem cell population maintenance	happens in intestine		IGI	MGI:88039 	J:1879 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		germ-line stem cell population maintenance			IMP	MGI:2177588 MGI:3578312 	J:95317 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		somatic stem cell population maintenance	happens in epiblast		IMP	MGI:1933381 	J:51139 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		somatic stem cell population maintenance			IMP		J:111554 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		somatic stem cell population maintenance			IMP		J:164442 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		somatic stem cell population maintenance			IMP		J:86143 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		stem cell population maintenance			IMP		J:195215 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		stem cell population maintenance			IMP		J:198818 	
MGI:2156391	Pramel7	PRAME like 7	2		somatic stem cell population maintenance			IDA		J:190212 	
MGI:2156391	Pramel7	PRAME like 7	2		stem cell population maintenance			IDA		J:243489 	
MGI:3588194	Prdm14	PR domain containing 14	1		germ-line stem cell population maintenance			IMP	MGI:4441771 	J:200019 	
MGI:3588194	Prdm14	PR domain containing 14	1		positive regulation of stem cell population maintenance			IMP		J:233634 	
MGI:3588194	Prdm14	PR domain containing 14	1		positive regulation of stem cell population maintenance			IMP		J:233954 	
MGI:3588194	Prdm14	PR domain containing 14	1		stem cell population maintenance			IMP	MGI:3805889 	J:206154 	
MGI:1917923	Prdm16	PR domain containing 16	4		somatic stem cell population maintenance			IDA		J:150463 	
MGI:1917923	Prdm16	PR domain containing 16	4		stem cell population maintenance	happens in brown adipocyte,happens in brown fat		IGI	MGI:95457 	J:213153 	
MGI:1917923	Prdm16	PR domain containing 16	4		stem cell population maintenance	happens in brown adipocyte,happens in brown fat		IMP	MGI:2135565 MGI:5564782 	J:213153 	
MGI:97772	Prox1	prospero homeobox 1	1		neuronal stem cell population maintenance			IMP		J:166777 	
MGI:97712	Prrx1	paired related homeobox 1	1		neuronal stem cell population maintenance			IDA		J:196061 	
